,sub,ch,corr,per,x_mni,y_mni,z_mni
23,rcs09l,10-11,0.11396874518437142,0.469551282051282,-30.969253525,-17.12699724,72.687019295
24,rcs09r,8-9,0.6359044211252181,0.7368089287700693,26.48176698,-32.36214692,74.000214515
25,rcs09r,10-11,-0.6808833351047918,0.7216155586043235,27.967389355,-11.592397791,73.291613385
26,rcs10l,8-9,0.638518138673987,0.6458086785009862,-27.30679696,-43.172488295,72.12521448999999
27,rcs10l,10-11,0.005747409801442812,0.7062488793258024,-21.39231892,-22.88090733,75.866538605
28,rcs10r,8-9,0.6288816223290179,0.7902745098039217,27.90120188,-37.754355535,73.01922821
29,rcs10r,10-11,-0.7433304306904995,0.6930196078431372,29.631456895,-15.7444656605,71.99821012
30,rcs11l,8-9,0.059525887411786764,0.8655423716399326,-26.87957515,-36.42091939,76.46302561499999
31,rcs11l,9-10,0.059525887411786764,0.3692411924119241,-27.366421375,-25.713576785,76.19502846500001
32,rcs11r,8-9,0.613572155842073,0.8427223938851846,29.33894449,-37.952102685,74.200816515
33,rcs11r,9-10,-0.6895834946797772,0.2328671328671328,30.50678623,-27.57229459,74.994954025
34,rcs12l,10-11,0.08896973902411677,0.6586993133825625,-35.64883074,-20.1387049,71.04858407
35,rcs12l,8-9,0.4826992855661426,0.8004113227101957,-31.898932395,-39.56623804,71.12382124499999
36,rcs12r,10-11,-0.7488207048722489,0.6950199758431663,32.627749785,-13.533023605,72.33838212500001
37,rcs12r,8-9,0.6387596177549136,0.7208879184861718,29.986522995,-33.82251997,73.59576627999999
38,rcs14l,8-9,0.009628804621137639,0.7785997732426304,-17.78853552,-33.147118465000005,78.84575928
39,rcs14l,10-11,-0.6062914147650595,0.7315192743764172,-21.97266702,-12.902491833,76.08877355999999
40,rcs15l,10-11,-0.6974762061910347,0.8166061749903213,-27.507806025,-13.054884612,72.46772446
41,rcs15l,8-9,-0.015671011619595835,0.8555966898954703,-26.226571635,-32.23895428,74.31045366500001
42,rcs15r,10-11,-0.7416399190133905,0.7847070368750599,30.327289995,-17.925622805,71.86761340000001
43,rcs15r,8-9,0.6157564011475463,0.8674919199138124,26.313039615,-38.497036875,72.465650875
44,rcs17l,8-9,0.046391634168920115,0.7504202359786649,-26.249027585,-36.66413147,76.71085291
45,rcs17l,10-11,-0.6372598007340344,0.5,-28.029223855,-15.521975255,76.02871691
46,rcs17r,8-9,0.6165552061136349,0.8568611064683269,31.177786060000003,-33.71087989,74.80139565
47,rcs17r,10-11,-0.7138905011867485,0.4263245863279291,37.893355745,-13.4607901385,71.011446515
48,rcs18l,10-11,0.05341541196978649,0.7900375765755038,-32.158185785,-12.488734024,71.171159735
49,rcs18l,8-9,0.49559958197445964,0.8246239034652483,-32.13779578,-33.98457554,72.048830945
50,rcs18r,10-11,-0.7427268604892229,0.7685668067024,30.77993186,-13.74942618,71.5806297
51,rcs18r,8-9,0.6193396843955243,0.8467936645902747,27.102312085,-34.20941421,72.80771891500001
52,rcs19l,10-11,-0.626072457402333,0.8196002347724012,-25.05210514,-13.6615244975,74.91489092
53,rcs19l,8-9,0.00033597492433939914,0.8005575844528499,-21.69210544,-34.328922955,77.716325325
54,rcs19r,10-11,-0.6869254190284865,0.8603400850212553,27.523045655,-15.4406685535,75.27799396
55,rcs19r,8-9,0.6215268491380183,0.8674668667166792,22.262970685,-35.29707946,77.20049499000001
56,rcs20l,8-9,0.5704360424424064,0.6512402150334811,-21.25057393,-38.26676198,78.59916627
57,rcs20l,10-11,-0.6444259342358774,0.4601622182401207,-24.63502573,-17.888688860000002,77.329895875
58,rcs20r,8-9,0.6293554168981498,0.8492645486808911,28.597338515,-30.92248518,76.522990115
59,rcs20r,10-11,-0.71355439281533,0.3614294266045239,32.371972035,-10.767440742,73.357238585
